text,label,label_id,source,sst_score
How about surprising us by trying something new ?,negative,0,sst,0.15278
It 's a drag how Nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,negative,0,sst,0.11111
"Judd 's characters ought to pick up the durable best seller Smart Women , Foolish Choices for advice .",negative,0,sst,0.38889
"Both Grant and Hoult carry the movie because they are believable as people -- flawed , assured of the wrong things , and scared to admit how much they may really need the company of others .",positive,2,sst,0.76389
is a mess .,negative,0,sst,0.11111
"As his circle of friends keeps getting smaller one of the characters in Long Time Dead says ` I 'm telling you , this is f \*\*\* ed ' .",neutral,1,sst,0.55556
A charming yet poignant tale of the irrevocable ties that bind .,positive,2,sst,0.80556
"Like coming into a long-running , well-written television series where you 've missed the first half-dozen episodes and probably wo n't see the next six .",negative,0,sst,0.22222
"The movie is too cute to take itself too seriously , but it still feels like it was made by some very stoned college students .",neutral,1,sst,0.44444
Director Barry Skolnick and his screenwriters glibly tick off every point of `` The Longest Yard '' playbook like a checklist .,neutral,1,sst,0.41667
Leigh makes these lives count .,positive,2,sst,0.75
"With recent tensions rekindled by the Kathleen Soliah trial and the upcoming trial of SLA members Emily and William Harris , not to mention Sept. 11 , its difficult these days to appreciate Fire 's bright side .",neutral,1,sst,0.40278
Ultimately feels like just one more in the long line of films this year about the business of making movies .,neutral,1,sst,0.5
The problem is n't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of Schwarzenegger outrunning a fireball .,negative,0,sst,0.26389
"Directing with a sure and measured hand , -LRB- Haneke -RRB- steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .",positive,2,sst,0.68056
... one of the most ingenious and entertaining thrillers I 've seen in quite a long time .,positive,2,sst,0.97222
"Sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .",negative,0,sst,0.30556
And Diesel is n't the actor to save it .,negative,0,sst,0.25
Demands too much of most viewers .,negative,0,sst,0.23611
"An emotionally and spiritually compelling journey seen through the right eyes , with the right actors and with the kind of visual flair that shows what great cinema can really do .",positive,2,sst,0.88889
There is a difference between movies with the courage to go over the top and movies that do n't care about being stupid,negative,0,sst,0.27778
"A naturally funny film , Home Movie makes you crave Chris Smith 's next movie .",positive,2,sst,0.875
"The movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .",negative,0,sst,0.20833
"With Rabbit-Proof Fence , Noyce has tailored an epic tale into a lean , economical movie .",positive,2,sst,0.72222
"An incredibly thoughtful , deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks .",positive,2,sst,0.76389
"While Cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem .",positive,2,sst,0.65278
I wonder why .,neutral,1,sst,0.44444
There 's only one way to kill Michael Myers for good : stop buying tickets to these movies .,negative,0,sst,0.083333
Episode II -- Attack of the Clones is a technological exercise that lacks juice and delight .,negative,0,sst,0.22222
"If you 're looking for comedy to be served up , better look elsewhere .",negative,0,sst,0.18056
Is it a comedy ?,negative,0,sst,0.36111
An incoherent jumble of a film that 's rarely as entertaining as it could have been .,negative,0,sst,0.19444
"If you want a movie time trip , the 1960 version is a far smoother ride .",negative,0,sst,0.27778
"A chance to see three splendid actors turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody , and to belong to somebody .",positive,2,sst,0.84722
"Even as the hero of the story rediscovers his passion in life , the mood remains oddly detached .",negative,0,sst,0.29167
"... plenty of warmth to go around , with music and laughter and the love of family .",positive,2,sst,0.81944
A sub-formulaic slap in the face to seasonal cheer .,negative,0,sst,0.22222
"There are a few modest laughs , but certainly no thrills .",neutral,1,sst,0.51389
"The Trinity Assembly approaches the endeavor with a shocking lack of irony , and George Ratliff 's documentary , Hell House , reflects their earnestness -- which makes for a terrifying film .",neutral,1,sst,0.43056
"Windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",positive,2,sst,0.69444
There 's not enough to sustain the comedy .,negative,0,sst,0.29167
"It is the sheer , selfish , wound-licking , bar-scrapping doggedness of Leon 's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction .",neutral,1,sst,0.54167
The universal theme of becoming a better person through love has never been filmed more irresistibly than in ` Baran . ',positive,2,sst,0.98611
The pace and the visuals are so hyped up that a curious sense of menace informs everything .,neutral,1,sst,0.55556
"Not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general .",negative,0,sst,0.34722
"A journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance .",positive,2,sst,0.72222
Socrates motions for hemlock .,neutral,1,sst,0.48611
Desperately unfunny when it tries to makes us laugh and desperately unsuspenseful when it tries to make us jump out of our seats .,negative,0,sst,0.15278
"Imagine a film that begins as a Seven rip-off , only to switch to a mix of The Shining , The Thing , and any naked teenagers horror flick from the 1980s .",negative,0,sst,0.27778
"While surprisingly sincere , this average little story is adorned with some awesome action photography and surfing .",positive,2,sst,0.77778
"Ringu is a disaster of a story , full of holes and completely lacking in chills .",negative,0,sst,0.055556
"If you like an extreme action-packed film with a hint of humor , then Triple X marks the spot .",positive,2,sst,0.79167
An experience so engrossing it is like being buried in a new environment .,positive,2,sst,0.79167
A richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,positive,2,sst,0.875
I could n't recommend this film more .,positive,2,sst,0.65278
"It haunts , horrifies , startles and fascinates ; it is impossible to look away .",positive,2,sst,0.81944
So lazy and slipshod it confuses the mere flashing of kinky soft-core imagery with naughty fun .,negative,0,sst,0.25
"A clutchy , indulgent and pretentious travelogue and diatribe against ... well , just stuff .",negative,0,sst,0.27778
"The entire movie is about a boring , sad man being boring and sad .",negative,0,sst,0.30556
"These three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people .",positive,2,sst,0.83333
"A gob of drivel so sickly sweet , even the eager consumers of Moore 's pasteurized ditties will retch it up like rancid crÃ¨me brÃ»lÃ©e .",negative,0,sst,0.18056
"Unexpected , and often contradictory , truths emerge .",positive,2,sst,0.61111
A domestic melodrama with weak dialogue and biopic cliches .,negative,0,sst,0.25
The film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-Oscar kind of way .,negative,0,sst,0.31944
"Every bit as bogus as most Disney live action family movies are -- no real plot , no real conflict , no real point .",negative,0,sst,0.13889
"It 's definitely an improvement on the first Blade , since it does n't take itself so deadly seriously .",positive,2,sst,0.70833
An eccentric little comic\/thriller deeply in love with its own quirky personality .,positive,2,sst,0.76389
"Kids five and up will be delighted with the fast , funny , and even touching story .",positive,2,sst,0.94444
As steamy as last week 's pork dumplings .,negative,0,sst,0.19444
... the film suffers from a lack of humor -LRB- something needed to balance out the violence -RRB- ...,negative,0,sst,0.34722
"After seeing the film , I can tell you that there 's no other reason why anyone should bother remembering it .",negative,0,sst,0.097222
It 's Pauly Shore awful .,negative,0,sst,0.055556
You 'll probably love it .,positive,2,sst,0.81944
"The problem is that for the most part , the film is deadly dull .",negative,0,sst,0.18056
"Curiously , Super Troopers suffers because it does n't have enough vices to merit its 103-minute length .",negative,0,sst,0.33333
"Admirers of director Abel Ferrara may be relieved that his latest feature , R Xmas , marks a modest if encouraging return to form .",positive,2,sst,0.80556
"The performances are immaculate , with Roussillon providing comic relief .",positive,2,sst,0.875
"The film is visually dazzling , the depicted events dramatic , funny and poignant .",positive,2,sst,0.97222
Suffers from all the excesses of the genre .,negative,0,sst,0.23611
The title helpfully offers the most succinct review of it you 'll read anywhere .,neutral,1,sst,0.51389
The film ultimately offers nothing more than people in an urban jungle needing other people to survive ...,negative,0,sst,0.33333
The inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror\/action hybrid .,negative,0,sst,0.22222
"With miscast leads , banal dialogue and an absurdly overblown climax , Killing Me Softly belongs firmly in the so-bad-it 's - good camp .",neutral,1,sst,0.55556
Shocking only in that it reveals the filmmaker 's bottomless pit of self-absorption .,negative,0,sst,0.27778
A real clunker .,negative,0,sst,0.15278
"There 's something with potential here , but the movie decides , like Lavinia , to go the conservative route .",neutral,1,sst,0.45833
"This toothless Dog , already on cable , loses all bite on the big screen .",negative,0,sst,0.26389
Director David Jacobson gives Dahmer a consideration that the murderer never game his victims .,neutral,1,sst,0.55556
Writer-director Stephen Gaghan has made the near-fatal mistake of being what the English call ` too clever by half . ',negative,0,sst,0.33333
Nearly every attempt at humor here is DOA .,negative,0,sst,0.11111
-LRB- L -RRB- ame and unnecessary .,negative,0,sst,0.11111
"There 's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream .",negative,0,sst,0.27778
"It 's plotless , shapeless -- and yet , it must be admitted , not entirely humorless .",negative,0,sst,0.38889
"Thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings .",positive,2,sst,0.88889
"For anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of Hell Houses in particular , it 's an eye-opener .",positive,2,sst,0.625
"A pleasant , if forgettable , romp of a film .",neutral,1,sst,0.48611
"What -LRB- Denis -RRB- accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned .",positive,2,sst,0.76389
The film 's needlessly opaque intro takes its doe-eyed Crudup out of pre-9 \/ 11 New York and onto a cross-country road trip of the Homeric kind .,negative,0,sst,0.31944
"The movie wavers between Hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .",negative,0,sst,0.31944
"Immersing us in the endlessly inventive , fiercely competitive world of hip-hop DJs , the project is sensational and revelatory , even if scratching makes you itch .",positive,2,sst,0.70833
Such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema .,negative,0,sst,0.11111
"You see the movie and you think , zzzzzzzzz .",negative,0,sst,0.11111
Snipes relies too much on a scorchingly plotted dramatic scenario for its own good .,neutral,1,sst,0.41667
Not since Tom Cruise in Risky Business has an actor made such a strong impression in his underwear .,positive,2,sst,0.76389
"Whenever you think you 've seen the end of the movie , we cut to a new scene , which also appears to be the end .",negative,0,sst,0.34722
"Featuring a dangerously seductive performance from the great Daniel Auteuil , `` Sade '' covers the same period as Kaufmann 's `` Quills '' with more unsettlingly realistic results .",positive,2,sst,0.83333
"All 's well that ends well , and rest assured , the consciousness-raising lessons are cloaked in gross-out gags .",neutral,1,sst,0.45833
"Cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience .",negative,0,sst,0.125
It 's makes a better travelogue than movie .,negative,0,sst,0.22222
"A real audience-pleaser that will strike a chord with anyone who 's ever waited in a doctor 's office , emergency room , hospital bed or insurance company office .",positive,2,sst,0.77778
Will no doubt delight Plympton 's legion of fans ; others may find 80 minutes of these shenanigans exhausting .,neutral,1,sst,0.51389
A penetrating glimpse into the tissue-thin ego of the stand-up comic .,neutral,1,sst,0.44444
No. .,negative,0,sst,0.33333
"Chaotic , self-indulgent and remarkably ugly to look at , it 's ... like a series of pretentiously awful student films strung together into one feature-length horror .",negative,0,sst,0.26389
"If there was ever a movie where the upbeat ending feels like a copout , this is the one .",negative,0,sst,0.27778
"Whereas the extremely competent hitman films such as Pulp Fiction and Get Shorty resonate a sardonic verve to their caustic purpose for existing , Who Is Cletis Tout ?",neutral,1,sst,0.44444
Both deserve better .,negative,0,sst,0.36111
"Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",neutral,1,sst,0.51389
"It 's a smartly directed , grown-up film of ideas .",positive,2,sst,0.86111
"Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",negative,0,sst,0.23611
"Not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy Hollywood at its laziest .",negative,0,sst,0.11111
I can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .,negative,0,sst,0.34722
"Static , repetitive , muddy and blurry , Hey Arnold !",negative,0,sst,0.22222
Viewers of Barney 's crushingly self-indulgent spectacle will see nothing in it to match the ordeal of sitting through it .,negative,0,sst,0.38889
New Best Friend should n't have gone straight to video ; it should have gone straight to a Mystery Science Theater 3000 video .,negative,0,sst,0.16667
"The film is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own .",negative,0,sst,0.16667
"A sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern China .",positive,2,sst,0.69444
Chalk it up as the worst kind of hubristic folly .,negative,0,sst,0.13889
Little more than a super-sized infomercial for the cable-sports channel and its Summer X Games .,neutral,1,sst,0.45833
"As quiet , patient and tenacious as Mr. Lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",positive,2,sst,0.88889
"As dumb and cheesy as they may be , the cartoons look almost Shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",positive,2,sst,0.66667
"The film is like sitting in a downtown cafÃ© , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",negative,0,sst,0.15278
"This mild-mannered farce , directed by one of its writers , John C. Walsh , is corny in a way that bespeaks an expiration date passed a long time ago .",negative,0,sst,0.30556
"For a film about two mismatched buddies , Crystal and De Niro share little screen time and even less chemistry .",negative,0,sst,0.29167
The fourth in a series that I 'll bet most parents had thought -- hoped !,neutral,1,sst,0.54167
A rather average action film that benefits from several funny moments supplied by Epps .,neutral,1,sst,0.52778
"On top of a foundering performance , -LRB- Madonna 's -RRB- denied her own athleticism by lighting that emphasizes every line and sag .",negative,0,sst,0.27778
"In my own very humble opinion , In Praise of Love lacks even the most fragmented charms I have found in almost all of his previous works .",negative,0,sst,0.041667
"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .",neutral,1,sst,0.58333
"As animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth .",positive,2,sst,0.70833
A sensitive and expertly acted crowd-pleaser that is n't above a little broad comedy and a few unabashedly sentimental tears .,positive,2,sst,0.83333
"But it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .",positive,2,sst,0.68056
Barely goes beyond comic book status .,negative,0,sst,0.22222
"If it 's possible for a sequel to outshine the original , then SL2 does just that .",positive,2,sst,0.83333
The acting is n't much better .,negative,0,sst,0.19444
Glazed with a tawdry B-movie scum .,negative,0,sst,0.11111
I tried to read the time on my watch .,negative,0,sst,0.375
Bound to appeal to women looking for a howlingly trashy time .,positive,2,sst,0.73611
So boring that even its target audience talked all the way through it .,negative,0,sst,0.055556
Fails to convince the audience that these brats will ever be anything more than losers .,negative,0,sst,0.31944
Mom and Dad can catch some quality naptime along the way .,neutral,1,sst,0.44444
At once half-baked and overheated .,negative,0,sst,0.26389
It reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it .,negative,0,sst,0.33333
Nachtwey clears the cynicism right out of you .,neutral,1,sst,0.56944
"The furious coherence that -LRB- DeNiro -RRB- brings to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it plods toward the end , less like a movie than like the filmed reading of a script in need of polishing .",negative,0,sst,0.26389
"If you 've ever wondered what an ending without the input of studio executives or test audiences would look like , here it is .",neutral,1,sst,0.48611
"While this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that 's more interested in asking questions than in answering them .",neutral,1,sst,0.43056
"Even though the film does n't manage to hit all of its marks , it 's still entertaining to watch the target practice .",positive,2,sst,0.63889
Or doing last year 's taxes with your ex-wife .,negative,0,sst,0.29167
"This is surely one of the most frantic , virulent and foul-natured Christmas season pics ever delivered by a Hollywood studio .",negative,0,sst,0.19444
"Ultimately , `` MIB II '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless .",positive,2,sst,0.76389
"Utterly lacking in charm , wit and invention , Roberto Benigni 's Pinocchio is an astonishingly bad film .",negative,0,sst,0.20833
Something must have been lost in the translation .,negative,0,sst,0.26389
-LRB- Has -RRB- an immediacy and an intimacy that sucks you in and dares you not to believe it 's all true .,positive,2,sst,0.77778
"McConaughey 's fun to watch , the dragons are okay , not much fire in the script .",positive,2,sst,0.63889
"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema .",positive,2,sst,0.875
"This is a smart movie that knows its classical music , knows its Freud and knows its Sade .",positive,2,sst,0.76389
It 's hard to know whether or not to recommend this film because for every thing it does right there 's at least one and occasionally two things it gets ever so wrong .,neutral,1,sst,0.47222
How anyone over the age of 2 can stomach the touchy-feely message this preachy produce promotes is beyond us .,neutral,1,sst,0.52778
Sam Mendes has become valedictorian at the School for Soft Landings and Easy Ways Out .,negative,0,sst,0.34722
"Sheridan seems terrified of the book 's irreverent energy , and scotches most of its Ã©lan , humor , bile , and irony .",negative,0,sst,0.15278
"If it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right .",positive,2,sst,0.72917
"Hugh Grant , who has a good line in charm , has never been more charming than in About a Boy .",positive,2,sst,0.80556
"Without a fresh infusion of creativity , 4Ever is neither a promise nor a threat so much as wishful thinking .",negative,0,sst,0.34722
This 10th film in the series looks and feels tired .,negative,0,sst,0.22222
Vividly conveys both the pitfalls and the pleasures of over-the-top love .,positive,2,sst,0.79167
Its characters are thinner than cardboard -- or even comic-book paper .,negative,0,sst,0.25
"Here is a divine monument to a single man 's struggle to regain his life , his dignity and his music .",positive,2,sst,0.81944
"When a movie asks you to feel sorry for Mick Jagger 's sex life , it already has one strike against it .",negative,0,sst,0.25
Feels as if the inmates have actually taken over the asylum .,neutral,1,sst,0.5
"... it was n't the subject matter that ultimately defeated the film ... It was the unfulfilling , incongruous , `` wait a second , did I miss something ? ''",negative,0,sst,0.13889
"In his debut as a director , Washington has a sure hand .",positive,2,sst,0.83333
"Expect the same-old , lame-old slasher nonsense , just with different scenery .",negative,0,sst,0.13889
"A film which presses familiar Herzog tropes into the service of a limpid and conventional historical fiction , when really what we demand of the director is to be mesmerised .",negative,0,sst,0.31944
"Whether -LRB- Binoche and Magimel -RRB- are being charming or angst-ridden , they easily fill their scenes and , fine judges both , never overcook the hysteria .",neutral,1,sst,0.54167
I did n't think so .,neutral,1,sst,0.47222
A winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others .,positive,2,sst,0.80556
"This would-be ` James Bond for the Extreme Generation ' pic is one big , dumb action movie .",negative,0,sst,0.125
"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .",positive,2,sst,0.73611
It 's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,neutral,1,sst,0.5
"As improbable as this premise may seem , Abbass 's understated , shining performance offers us the sense that on some elemental level , Lilia deeply wants to break free of her old life .",positive,2,sst,0.80556
"The whole thing feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas .",negative,0,sst,0.027778
"Unfortunately , the picture failed to capture me .",negative,0,sst,0.069444
A fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the New Age .,positive,2,sst,0.81944
"Then again , in a better movie , you might not have noticed .",negative,0,sst,0.11111
There 's surely something wrong with a comedy where the only belly laughs come from the selection of outtakes tacked onto the end credits .,negative,0,sst,0.18056
"Rob Schneider , Dana Carvey and Sarah Michelle Gellar in The Philadelphia Story ?",neutral,1,sst,0.5
"You have to pay attention to follow all the stories , but they 're each interesting .",positive,2,sst,0.73611
is an inexpressible and drab wannabe looking for that exact niche .,negative,0,sst,0.20833
"McKay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service .",negative,0,sst,0.16667
"What 's surprising about Full Frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .",positive,2,sst,0.65278
"Easier to respect than enthuse over , Andersson 's rigorous personal vision is not only distanced but distancing .",neutral,1,sst,0.45833
"`` The Emperor 's New Clothes '' begins with a simple plan ... Well , at least that 's the plan .",neutral,1,sst,0.54167
"If you 're a Crocodile Hunter fan , you 'll enjoy at least the `` real '' portions of the film .",neutral,1,sst,0.55556
"Funny , sexy , devastating and incurably romantic .",positive,2,sst,0.81944
"Brings together some of the biggest names in Japanese anime , with impressive results .",positive,2,sst,0.97222
"... the good and different idea -LRB- of middle-aged romance -RRB- is not handled well and , except for the fine star performances , there is little else to recommend `` Never Again . ''",negative,0,sst,0.27778
A flawed film but an admirable one that tries to immerse us in a world of artistic abandon and political madness and very nearly succeeds .,neutral,1,sst,0.55556
Final verdict : You 've seen it all before .,negative,0,sst,0.18056
"A romantic comedy , yes , but one with characters who think and talk about their goals , and are working on hard decisions .",positive,2,sst,0.72222
"Chalk it up to my adoration for both De Niro and Murphy , but I had a pretty good time with this movie - despite its myriad flaws .",neutral,1,sst,0.51389
Gives everyone something to shout about .,positive,2,sst,0.88889
"With an expressive face reminiscent of Gong Li and a vivid personality like Zhang Ziyi 's , Dong stakes out the emotional heart of Happy .",positive,2,sst,0.66667
Craig Bartlett and director Tuck Tucker should be commended for illustrating the merits of fighting hard for something that really matters .,positive,2,sst,0.73611
There 's no point in extracting the bare bones of Byatt 's plot for purposes of bland Hollywood romance .,negative,0,sst,0.34722
"A time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .",positive,2,sst,0.88889
So brisk is Wang 's pacing that none of the excellent cast are given air to breathe .,neutral,1,sst,0.47222
One of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch .,negative,0,sst,0.20833
A slight but sweet film .,positive,2,sst,0.66667
There are moments of hilarity to be had .,positive,2,sst,0.77778
There is n't one moment in the film that surprises or delights .,negative,0,sst,0.16667
... lacks the punch and verve needed to make this genre soar .,neutral,1,sst,0.45833
"The work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims .",positive,2,sst,0.66667
"Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",neutral,1,sst,0.58333
"Home Alone goes Hollywood , a funny premise until the kids start pulling off stunts not even Steven Spielberg would know how to do .",negative,0,sst,0.31944
Plays less like a coming-of-age romance than an infomercial .,negative,0,sst,0.31944
"Lauren Ambrose comes alive under the attention from two strangers in town - with honest performances and realistic interaction between the characters , this is a coming-of-age story with a twist .",positive,2,sst,0.83333
Big mistake .,negative,0,sst,0.22222
"Bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen .",positive,2,sst,0.80556
"The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",positive,2,sst,0.77778
"A delectable and intriguing thriller filled with surprises , Read My Lips is an original .",positive,2,sst,0.83333
"A dark , dull thriller with a parting shot that misfires .",neutral,1,sst,0.54167
"Thanks to Haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , Far From Heaven actually pulls off this stylistic juggling act .",positive,2,sst,0.77778
` How many more voyages can this limping but dearly-loved franchise survive ? ',neutral,1,sst,0.55556
"You do n't need to know your Ice-T 's from your Cool-J 's to realize that as far as these shootings are concerned , something is rotten in the state of California .",negative,0,sst,0.29167
And that 's a big part of why we go to the movies .,positive,2,sst,0.70833
Vile and tacky are the two best adjectives to describe Ghost Ship .,negative,0,sst,0.13889
"Both exuberantly romantic and serenely melancholy , What Time Is It There ?",positive,2,sst,0.63889
