text,label,label_id,source
Almost got a heart attack when you kinda tripped on the stairs!!,neutral,1,facebook
All the people who say she was " asking for it" should look at the " What was she wearing?" exhibit,negative,0,facebook
Add some coconut and mango for a tropical treat.,neutral,1,facebook
11 days can’t come soon enough!!! I’m ready for it!,positive,2,facebook
10k is easy to do if you can find some time in the morning to do a walk.,neutral,1,facebook
"""You're really old, but you're really good at it."" ",positive,2,facebook
"""This actually made my day a bit easier""",positive,2,facebook
"""It was a giant misunderstanding"" was diabolical ",negative,0,facebook
"""I'm against it, unless I'm doing it.""",negative,0,facebook
 this is totally a sign of desperation and loss of influence!,negative,0,facebook
